POLICYNUM,INSAGE,INSAGEBIN,VEHICLE_TYPE,GENDER,MARITAL_STATUS,PREVCLM,SEATBELT,ACTUALDAMAGE,LOSS
5,50.0,45-55,Small car,Male,,No,Yes,34940.0,33440.0
13,28.0,25-35,Big car,Female,Single,Yes,Yes,10892.0,9392.0
66,5.0,18 and below,Big car,Male,Single,No,Yes,330.0,0.0
71,32.0,25-35,Small car,Male,Married,No,No,11037.0,9537.0
96,30.0,25-35,Big car,Male,Divorced/Separated,No,Yes,138.0,0.0
97,35.0,35-45,Small car,Female,Married,No,Yes,309.0,0.0
120,19.0,18-25,Small car,Male,Single,No,Yes,3538.0,2038.0
136,34.0,25-35,Small car,Female,Single,No,Yes,4882.0,3382.0
152,61.0,55 and older,Big car,Female,Single,No,Yes,874.0,0.0
155,,,Big car,Male,Single,No,Yes,1351.0,0.0
162,37.0,35-45,Small car,Female,Married,No,Yes,6290.0,4790.0
248,42.0,35-45,Small car,Male,Married,No,Yes,29620.0,28120.0
250,17.0,18 and below,Big car,Male,Single,No,Yes,2678.0,1178.0
251,40.0,35-45,Small car,Female,Married,No,Yes,11673.0,10173.0
269,37.0,35-45,Big car,Female,Married,No,Yes,243.0,0.0
272,19.0,18-25,Big car,Female,Single,Yes,Yes,1053.0,0.0
334,58.0,55 and older,Big car,Female,Married,No,Yes,150.0,0.0
361,58.0,55 and older,Small car,Male,Married,No,Yes,758.0,0.0
376,3.0,18 and below,Big car,Male,Single,No,Yes,100.0,0.0
412,38.0,35-45,Small car,Female,Divorced/Separated,No,Yes,4754.0,3254.0
479,37.0,35-45,Small car,Male,Single,,Yes,3200.0,1700.0
481,39.0,35-45,Big car,Female,Married,No,Yes,230.0,0.0
551,38.0,35-45,Small car,Male,Divorced/Separated,Yes,Yes,26262.0,24762.0
569,31.0,25-35,Small car,Male,Single,,Yes,1619.0,119.0
581,54.0,45-55,Big car,Male,Married,No,Yes,20040.0,18540.0
608,3.0,18 and below,Big car,Female,Single,No,Yes,787.0,0.0
613,62.0,55 and older,Big car,Male,Single,No,Yes,250.0,0.0
616,10.0,18 and below,Small car,Male,Single,No,Yes,1405.0,0.0
617,40.0,35-45,Big car,Male,Married,No,Yes,415.0,0.0
631,,,Small car,Male,Single,No,Yes,595.0,0.0
640,26.0,25-35,Big car,Female,Divorced/Separated,No,Yes,3994.0,2494.0
641,,,Big car,Male,Single,No,Yes,337.0,0.0
685,19.0,18-25,Big car,Male,Single,No,Yes,603.0,0.0
700,35.0,35-45,Small car,Female,Single,No,Yes,2673.0,1173.0
721,35.0,35-45,Small car,Female,Married,No,Yes,4752.0,3252.0
766,27.0,25-35,Small car,Female,Married,No,Yes,3538.0,2038.0
775,42.0,35-45,Small car,Female,Married,Yes,Yes,3285.0,1785.0
805,50.0,45-55,Small car,Female,Married,No,Yes,13711.0,12211.0
829,33.0,25-35,Big car,Male,Single,No,Yes,386.0,0.0
838,19.0,18-25,Small car,Male,Single,No,Yes,2970.0,1470.0
852,34.0,25-35,Big car,Male,Married,No,Yes,1914.0,414.0
872,33.0,25-35,Small car,Female,Married,Yes,Yes,8090.0,6590.0
915,46.0,45-55,Small car,Female,Married,No,Yes,8189.999999999999,6689.999999999999
942,55.0,55 and older,Big car,Female,Single,No,Yes,23201.0,21701.0
972,5.0,18 and below,Big car,Male,Single,No,Yes,460.0,0.0
1062,,,Big car,Female,Married,No,Yes,3982.0,2482.0
1063,26.0,25-35,Small car,Male,Married,Yes,Yes,2740.0,1240.0
1078,2.0,18 and below,Big car,Male,Single,No,Yes,100.0,0.0
1092,,,Small car,Male,Single,No,Yes,2103.0,603.0
1101,41.0,35-45,Small car,Male,Married,No,Yes,3200.0,1700.0
1104,29.0,25-35,Small car,Female,Divorced/Separated,No,Yes,3777.0,2277.0
1154,54.0,45-55,Big car,Male,Married,No,Yes,1975.0,475.0
1170,,,Big car,Female,Married,No,Yes,497.0,0.0
1186,,,Big car,Female,Single,No,Yes,335.0,0.0
1278,61.0,55 and older,Small car,Female,Married,No,Yes,2669.0,1169.0
1295,31.0,25-35,Small car,Male,Married,No,Yes,33633.0,32133.0
1312,,,Big car,Female,Married,No,Yes,305.0,0.0
1314,20.0,18-25,Small car,Female,Single,Yes,Yes,6694.0,5194.0
1335,44.0,35-45,Big car,Female,Married,No,Yes,239.0,0.0
1339,21.0,18-25,Big car,Male,Single,No,Yes,987.0,0.0
1354,,,Big car,Female,Married,No,Yes,1000.0,0.0
1359,,,Big car,Male,Married,No,Yes,1530.0,30.0
1366,35.0,35-45,Small car,Male,Married,,,5563.0,4063.0
1387,54.0,45-55,Big car,Male,Married,No,Yes,270.0,0.0
1415,38.0,35-45,Small car,Female,Married,No,Yes,2523.0,1023.0
1445,61.0,55 and older,Big car,Female,Married,No,Yes,730.0,0.0
1470,,,Big car,Male,Married,No,Yes,3638.0,2138.0
1505,31.0,25-35,Big car,Male,Single,No,Yes,1081.0,0.0
1530,27.0,25-35,Big car,Female,Married,Yes,Yes,1320.0,0.0
1590,4.0,18 and below,Small car,Male,Single,No,Yes,300.0,0.0
1607,56.0,55 and older,Small car,Male,Single,No,Yes,44061.0,42561.0
1608,63.0,55 and older,Small car,Male,Married,No,Yes,2600.0,1100.0
1624,55.0,55 and older,Small car,Male,Married,No,Yes,1895.0,395.0
1664,47.0,45-55,Small car,Male,Married,No,Yes,1442.0,0.0
1671,0.0,18 and below,Big car,Male,Single,No,Yes,445.0,0.0
1740,15.0,18 and below,Small car,Male,Single,No,Yes,3510.0,2010.0
1743,38.0,35-45,Big car,Male,Married,No,Yes,1919.0,419.0
1780,,,Big car,Female,Single,No,Yes,100.0,0.0
1784,40.0,35-45,Small car,Male,Married,No,Yes,2875.0,1375.0
1791,57.0,55 and older,Big car,Male,Single,No,Yes,3889.0,2389.0
1840,27.0,25-35,Small car,Female,Married,No,Yes,2765.0,1265.0
1918,12.0,18 and below,Big car,Female,Single,No,Yes,1527.0,27.0
1970,,,Small car,Female,Married,,Yes,9730.0,8230.0
1996,22.0,18-25,Small car,Female,Single,Yes,Yes,2720.0,1220.0
2002,40.0,35-45,Small car,Male,Married,No,Yes,10834.0,9334.0
2009,21.0,18-25,Big car,Female,Single,No,Yes,2132.0,632.0
2013,28.0,25-35,Small car,Male,Single,No,Yes,3370.0,1870.0
2020,35.0,35-45,Big car,Female,Married,No,Yes,250.0,0.0
2023,22.0,18-25,Small car,Female,Single,No,Yes,4227.0,2727.0
2027,26.0,25-35,Small car,Female,Married,No,Yes,4440.0,2940.0
2028,,,Big car,Female,Married,No,Yes,800.0,0.0
2054,10.0,18 and below,Small car,Female,Single,No,Yes,4506.0,3006.0
2063,18.0,18-25,Big car,Female,Single,No,Yes,1860.0,360.0
2092,32.0,25-35,Small car,Male,Divorced/Separated,No,Yes,13028.0,11528.0
2121,51.0,45-55,Small car,Male,Single,No,Yes,2467.0,967.0
2122,72.0,55 and older,Big car,Female,Married,No,Yes,198.0,0.0
2123,,,Big car,Female,,No,Yes,3682.0,2182.0
2154,2.0,18 and below,Small car,Male,Single,No,Yes,34572.0,33072.0
2157,26.0,25-35,Small car,Male,Married,No,Yes,8698.0,7198.0
2159,19.0,18-25,Big car,Male,Single,No,Yes,460.0,0.0
2178,16.0,18 and below,Big car,Male,Single,No,Yes,721.0,0.0
2256,43.0,35-45,Big car,Female,Married,No,Yes,535.0,0.0
2264,35.0,35-45,Small car,Female,Married,No,Yes,2435.0,935.0
2289,,,Small car,Female,Married,No,Yes,2433.0,933.0
2309,17.0,18 and below,Big car,Male,Single,No,Yes,589.0,0.0
2314,43.0,35-45,Small car,Male,Divorced/Separated,No,Yes,14485.0,12985.0
2325,29.0,25-35,Small car,Male,Single,No,Yes,40364.0,38864.0
2349,20.0,18-25,Small car,Female,Married,Yes,Yes,3975.0,2475.0
2388,32.0,25-35,Big car,Female,Single,No,Yes,1595.0,95.0
2404,,,Small car,Male,Single,No,Yes,755.0,0.0
2470,69.0,55 and older,Small car,Male,Married,No,Yes,2051.0,551.0
2473,33.0,25-35,Big car,Female,Married,No,Yes,421.0,0.0
2492,41.0,35-45,Small car,Female,Married,Yes,Yes,5444.0,3944.0
2496,,,Big car,Female,,No,Yes,1365.0,0.0
2568,18.0,18-25,Big car,Female,Single,No,Yes,380.0,0.0
2589,,,Small car,Male,Married,No,Yes,3060.0,1560.0
2599,,,Big car,Female,Married,No,Yes,765.0,0.0
2616,42.0,35-45,Small car,Female,Married,No,Yes,3595.0,2095.0
2655,43.0,35-45,Small car,Female,,No,Yes,3132.0,1632.0
2662,,,Big car,Female,Single,No,Yes,6350.0,4850.0
2691,21.0,18-25,Small car,Female,Single,No,Yes,11315.0,9815.0
2741,19.0,18-25,Small car,Female,Single,No,Yes,5823.0,4323.0
2755,46.0,45-55,Small car,Female,Married,No,Yes,10050.0,8550.0
2758,17.0,18 and below,Small car,Female,Single,No,Yes,2991.0,1491.0
2838,31.0,25-35,Small car,Female,Married,No,Yes,4424.0,2924.0
2846,43.0,35-45,Big car,Female,Married,No,Yes,3863.0,2363.0
2879,,,Big car,Male,Married,No,Yes,250.0,0.0
2896,33.0,25-35,Small car,Male,Single,No,Yes,7762.0,6262.0
2939,54.0,45-55,Big car,Male,Single,No,Yes,747.0,0.0
2958,40.0,35-45,Big car,Male,Single,No,,2577.0,1077.0
2991,48.0,45-55,Big car,Female,Single,No,Yes,345.0,0.0
3067,50.0,45-55,Big car,Female,Married,No,Yes,1156.0,0.0
3087,,,Small car,,,,,3140.0,1640.0
3093,,,Small car,Female,Divorced/Separated,No,Yes,9796.0,8296.0
3147,32.0,25-35,Small car,Female,Married,No,Yes,4460.0,2960.0
3252,12.0,18 and below,Big car,Male,Single,No,Yes,180.0,0.0
3257,,,Big car,Male,Single,No,Yes,85.0,0.0
3291,10.0,18 and below,Small car,Male,Single,No,No,2005.0,505.0
3298,62.0,55 and older,Big car,Female,Divorced/Separated,No,Yes,535.0,0.0
3305,18.0,18-25,Small car,Male,Single,No,Yes,1973.0,473.0
3324,17.0,18 and below,Small car,Female,Single,No,Yes,1655.0,155.0
3337,37.0,35-45,Big car,Female,Married,No,Yes,3667.0,2167.0
3384,,,Small car,Male,,No,Yes,1625.0,125.0
3443,4.0,18 and below,Small car,Male,Married,No,Yes,18626.0,17126.0
3446,75.0,55 and older,Small car,Male,Married,No,Yes,3010.0,1510.0
3465,81.0,55 and older,Big car,Female,Married,No,Yes,192.0,0.0
3510,33.0,25-35,Big car,Male,Married,No,Yes,2380.0,880.0
3532,16.0,18 and below,Small car,Male,Single,No,Yes,49561.0,48061.0
3546,40.0,35-45,Small car,Female,Married,No,Yes,59497.0,57997.0
3562,21.0,18-25,Big car,Female,Single,No,Yes,443.0,0.0
3572,40.0,35-45,Small car,Female,Married,No,Yes,8741.0,7241.0
3580,,,Small car,Female,Single,No,Yes,2790.0,1290.0
3605,16.0,18 and below,Big car,Female,Single,No,Yes,175.0,0.0
3667,66.0,55 and older,Small car,Male,Single,No,Yes,11517.0,10017.0
3668,42.0,35-45,Small car,Female,Married,No,Yes,2579.0,1079.0
3677,56.0,55 and older,Small car,Female,Married,No,Yes,6440.0,4940.0
3699,27.0,25-35,Small car,Male,Single,No,Yes,33452.0,31952.0
3717,23.0,18-25,Small car,Female,Married,No,Yes,40461.0,38961.0
3763,10.0,18 and below,Small car,Male,Single,,,9032.0,7532.0
3792,52.0,45-55,Big car,Male,Married,Yes,Yes,150.0,0.0
3810,33.0,25-35,Big car,Male,Single,Yes,Yes,2509.0,1009.0
3848,21.0,18-25,Big car,Male,Single,No,Yes,375.0,0.0
3874,,,Big car,Female,Single,No,Yes,810.0,0.0
3902,28.0,25-35,Small car,Female,Married,No,Yes,4189.0,2689.0
3906,39.0,35-45,Big car,Male,Married,Yes,,248.0,0.0
3910,0.0,18 and below,Big car,Male,Single,No,Yes,120.0,0.0
3915,46.0,45-55,Big car,Male,Single,No,Yes,678.0,0.0
3921,39.0,35-45,Big car,Female,Single,Yes,Yes,240.0,0.0
3939,20.0,18-25,Small car,Male,Married,No,Yes,14239.0,12739.0
3974,34.0,25-35,Small car,Female,Single,No,Yes,1210.0,0.0
3995,18.0,18-25,Small car,Male,Married,No,Yes,471.0,0.0
4066,42.0,35-45,Small car,Female,Divorced/Separated,No,Yes,4840.0,3340.0
4083,17.0,18 and below,Small car,Female,Single,No,Yes,4503.0,3003.0
4100,28.0,25-35,Small car,Female,Married,No,Yes,2638.0,1138.0
4116,42.0,35-45,Small car,Female,Married,No,Yes,3489.0,1989.0
4184,21.0,18-25,Big car,Male,Single,No,Yes,4375.0,2875.0
4188,12.0,18 and below,Big car,Female,Single,No,Yes,1480.0,0.0
4196,16.0,18 and below,Big car,Female,Single,No,Yes,614.0,0.0
4202,14.0,18 and below,Big car,Female,Single,No,Yes,4227.0,2727.0
4231,25.0,25-35,Small car,Male,Single,No,Yes,9898.0,8398.0
4237,18.0,18-25,Big car,Male,Single,Yes,Yes,2667.0,1167.0
4248,5.0,18 and below,Big car,Male,Single,No,Yes,100.0,0.0
4296,11.0,18 and below,Big car,Male,Single,No,Yes,1440.0,0.0
4409,,,Small car,Female,Single,No,Yes,12009.0,10509.0
4465,,,Big car,Male,Single,No,Yes,7164.0,5664.0
4491,41.0,35-45,Small car,Female,Married,No,Yes,2530.0,1030.0
4517,,,Small car,Female,Single,No,Yes,1377.0,0.0
4562,62.0,55 and older,Small car,Male,Married,No,Yes,1317.0,0.0
4593,43.0,35-45,Small car,Male,Single,,Yes,1123.0,0.0
4682,65.0,55 and older,Big car,Female,Married,Yes,Yes,1373.0,0.0
4684,24.0,18-25,Big car,Female,Single,No,Yes,2595.0,1095.0
4695,21.0,18-25,Small car,Male,Single,No,Yes,5345.0,3845.0
4707,6.0,18 and below,Big car,Female,Single,No,Yes,100.0,0.0
4708,49.0,45-55,Big car,Female,Married,No,Yes,3968.0,2468.0
4780,33.0,25-35,Small car,Female,Married,No,Yes,627.0,0.0
4789,18.0,18-25,Big car,Female,Single,No,Yes,2478.0,978.0
4799,31.0,25-35,Small car,Male,Married,No,Yes,3677.0,2177.0
4835,50.0,45-55,Big car,Female,Married,No,Yes,1245.0,0.0
4844,49.0,45-55,Small car,Male,Married,No,Yes,390.0,0.0
4925,19.0,18-25,Big car,Female,Single,,Yes,3611.0,2111.0
4929,27.0,25-35,Big car,Female,Married,No,Yes,1054.0,0.0
4935,55.0,55 and older,Big car,Female,Single,No,Yes,500.0,0.0
4970,28.0,25-35,Small car,Female,Single,No,Yes,3086.0,1586.0
5001,20.0,18-25,Small car,Female,Single,Yes,Yes,2847.0,1347.0
5020,38.0,35-45,Small car,Female,Married,Yes,Yes,724.0,0.0
5152,22.0,18-25,Small car,Female,Married,No,Yes,2210.0,710.0
5176,,,Big car,Female,Single,No,Yes,208.0,0.0
5208,42.0,35-45,Big car,Male,Married,No,Yes,1795.0,295.0
5211,37.0,35-45,Small car,Female,Married,No,Yes,25826.0,24326.0
5252,23.0,18-25,Big car,Male,Married,Yes,Yes,4508.0,3008.0
5284,49.0,45-55,Big car,Female,Married,No,Yes,618.0,0.0
5287,21.0,18-25,Big car,Female,Single,No,Yes,886.0,0.0
5304,4.0,18 and below,Big car,Female,Single,No,Yes,100.0,0.0
5340,40.0,35-45,Big car,Female,Married,No,Yes,3751.0,2251.0
5359,60.0,55 and older,Small car,Female,Single,No,Yes,466.0,0.0
5376,77.0,55 and older,Big car,Female,Widowed,No,Yes,944.0,0.0
5380,21.0,18-25,Big car,Female,Single,No,Yes,3435.0,1935.0
5382,18.0,18-25,Small car,Female,Single,No,Yes,5419.0,3919.0
5410,11.0,18 and below,Big car,Female,Single,No,Yes,140.0,0.0
5492,24.0,18-25,Big car,Female,Single,No,Yes,818.0,0.0
5514,17.0,18 and below,Big car,Female,Single,No,No,1983.0,483.0
5547,44.0,35-45,Big car,Male,Married,No,Yes,35.0,0.0
5560,,,Big car,Male,Married,No,Yes,3023.0,1523.0
5639,19.0,18-25,Big car,Male,Single,No,Yes,2380.0,880.0
5642,16.0,18 and below,Big car,Male,Single,No,Yes,640.0,0.0
5666,29.0,25-35,Small car,Male,Married,No,Yes,2644.0,1144.0
5685,16.0,18 and below,Big car,Female,Single,No,Yes,2462.0,962.0
5718,17.0,18 and below,Small car,Male,Single,No,Yes,640.0,0.0
5730,35.0,35-45,Small car,Female,Married,No,Yes,114604.0,113104.0
5745,32.0,25-35,Big car,Female,Married,No,Yes,3950.0,2450.0
5748,49.0,45-55,Big car,Male,Married,No,Yes,250.0,0.0
5758,39.0,35-45,Big car,Male,Married,No,Yes,2041.0,541.0
5800,34.0,25-35,Big car,Female,Single,No,Yes,4091.0,2591.0
5829,37.0,35-45,Small car,Male,Married,Yes,Yes,2571.0,1071.0
5882,40.0,35-45,Small car,Female,Widowed,,Yes,3068.0,1568.0
5900,27.0,25-35,Small car,Female,Married,No,Yes,2629.0,1129.0
5928,5.0,18 and below,Small car,Female,Single,No,Yes,912.0,0.0
5949,29.0,25-35,Small car,Female,Single,Yes,Yes,1885.0,385.0
5954,26.0,25-35,Big car,Female,Single,No,Yes,1968.0,468.0
5956,16.0,18 and below,Big car,Female,Married,No,Yes,1122.0,0.0
5992,34.0,25-35,Big car,Male,Married,No,Yes,1660.0,160.0
6024,38.0,35-45,Big car,Female,Married,No,Yes,6509.0,5009.0
6081,42.0,35-45,Small car,Male,Married,No,Yes,40000.0,38500.0
6101,35.0,35-45,Small car,Male,Married,No,Yes,3033.0,1533.0
6105,5.0,18 and below,Big car,Female,Single,No,Yes,1094.0,0.0
6118,41.0,35-45,Big car,Female,Single,No,Yes,3700.0,2200.0
6234,23.0,18-25,Big car,Female,Married,No,Yes,1958.0,458.0
6295,17.0,18 and below,Big car,Female,Single,No,Yes,500.0,0.0
6323,,,Small car,Male,Single,No,Yes,2835.0,1335.0
6330,18.0,18-25,Big car,Female,Single,No,Yes,234.0,0.0
6331,49.0,45-55,Big car,Female,Single,No,Yes,520.0,0.0
6368,51.0,45-55,Small car,Female,Married,No,Yes,6608.0,5108.0
6419,50.0,45-55,Big car,Male,Married,No,Yes,350.0,0.0
6434,20.0,18-25,Small car,Male,Single,No,Yes,5317.0,3817.0
6492,,,Small car,Female,Married,No,Yes,3974.0,2474.0
6543,31.0,25-35,Small car,Male,Single,No,Yes,4010.0,2510.0
6571,27.0,25-35,Small car,Female,Single,No,,3630.0,2130.0
6579,25.0,25-35,Small car,Male,Single,No,Yes,3170.0,1670.0
6593,11.0,18 and below,Small car,Male,Single,No,Yes,709.0,0.0
6642,66.0,55 and older,Small car,Male,Single,No,No,4530.0,3030.0
6680,30.0,25-35,Big car,Female,Married,No,Yes,1877.0,377.0
6690,31.0,25-35,Big car,Male,Single,No,Yes,228.0,0.0
6697,16.0,18 and below,Big car,Male,Married,Yes,Yes,598.0,0.0
6791,30.0,25-35,Big car,Female,Married,No,Yes,1760.0,260.0
6869,50.0,45-55,Small car,Male,Divorced/Separated,No,Yes,1675.0,175.0
6882,29.0,25-35,Small car,Female,Widowed,No,Yes,2740.0,1240.0
6936,49.0,45-55,Big car,Female,Married,No,Yes,4264.0,2764.0
6976,40.0,35-45,Big car,Male,Married,No,,1386.0,0.0
7005,54.0,45-55,Big car,Female,Married,No,Yes,84.0,0.0
7035,3.0,18 and below,Small car,Male,Single,Yes,Yes,852.0,0.0
7107,5.0,18 and below,Small car,Female,Single,No,Yes,57.0,0.0
7109,16.0,18 and below,Small car,Female,Single,No,Yes,4311.0,2811.0
7123,39.0,35-45,Small car,Male,Single,No,Yes,2188.0,688.0
7135,19.0,18-25,Big car,Female,Married,No,Yes,3000.0,1500.0
7138,,,Small car,Female,Married,No,Yes,10919.0,9419.0
7142,15.0,18 and below,Small car,Female,Single,No,Yes,1780.0,280.0
7157,37.0,35-45,Small car,Female,Single,No,Yes,4027.9999999999995,2527.9999999999995
7160,,,Big car,Male,Married,No,Yes,82000.0,80500.0
7197,5.0,18 and below,Big car,Female,Single,No,Yes,1528.0,28.0
7217,47.0,45-55,Small car,Male,Divorced/Separated,No,Yes,10250.0,8750.0
7218,69.0,55 and older,Small car,Female,Married,No,Yes,2176.0,676.0
7241,38.0,35-45,Big car,Male,Married,No,Yes,2032.0,532.0
7263,,,Big car,Male,Married,No,Yes,1122.0,0.0
7309,29.0,25-35,Small car,Female,Married,No,No,3724.0,2224.0
7351,,,Big car,Female,Widowed,No,Yes,30.0,0.0
7382,17.0,18 and below,Big car,Female,Single,No,Yes,7450.0,5950.0
7386,20.0,18-25,Small car,Male,Single,No,Yes,2627.0,1127.0
7406,29.0,25-35,Small car,Female,Single,No,Yes,68560.0,67060.0
7477,16.0,18 and below,Big car,Male,Single,No,Yes,708.0,0.0
7484,15.0,18 and below,Small car,Female,Single,No,Yes,6080.0,4580.0
7498,32.0,25-35,Big car,Female,Single,No,Yes,1020.0,0.0
7586,27.0,25-35,Small car,Female,Single,No,Yes,3340.0,1840.0
7605,16.0,18 and below,Small car,Male,Single,No,Yes,2470.0,970.0
7647,21.0,18-25,Small car,Female,Married,No,Yes,3330.0,1830.0
7667,,,Big car,Female,Single,No,Yes,3199.0,1699.0
7671,16.0,18 and below,Small car,Female,Single,Yes,Yes,2627.0,1127.0
7694,11.0,18 and below,Big car,Male,Single,No,Yes,500.0,0.0
7704,39.0,35-45,Big car,Female,Married,No,Yes,434.0,0.0
7707,,,Big car,Male,Married,No,Yes,40.0,0.0
7723,46.0,45-55,Big car,Female,Married,No,Yes,2470.0,970.0
7748,17.0,18 and below,Small car,Male,Single,No,Yes,400.0,0.0
7769,,,Big car,Female,Divorced/Separated,Yes,Yes,18.0,0.0
7776,42.0,35-45,Big car,Male,Single,No,Yes,3321.0,1821.0
7779,8.0,18 and below,Small car,Female,Single,No,Yes,200.0,0.0
7792,18.0,18-25,Big car,Female,Married,No,Yes,700.0,0.0
7855,33.0,25-35,Big car,Male,Single,No,Yes,1886.0,386.0
7883,15.0,18 and below,Big car,Female,Single,No,Yes,4058.0,2558.0
7904,57.0,55 and older,Big car,Male,Single,No,Yes,500.0,0.0
7919,36.0,35-45,Big car,Female,Married,No,Yes,250.0,0.0
7930,35.0,35-45,Big car,Male,Married,No,Yes,9162.0,7662.0
7972,42.0,35-45,Big car,Male,Single,No,Yes,1746.0,246.0
7981,25.0,25-35,Small car,Female,Married,No,Yes,2377.0,877.0
7996,23.0,18-25,Small car,Female,Single,Yes,Yes,2156.0,656.0
7999,49.0,45-55,Small car,Male,Married,Yes,Yes,1998.0,498.0
8115,0.0,18 and below,Big car,Female,Married,No,Yes,2381.0,881.0
8133,23.0,18-25,Big car,Female,Single,No,Yes,210.0,0.0
8136,1.0,18 and below,Big car,Male,Single,No,Yes,105.0,0.0
8152,16.0,18 and below,Big car,Female,Single,No,Yes,140.0,0.0
8274,,,Big car,Female,Married,No,Yes,150.0,0.0
8300,36.0,35-45,Small car,Male,Single,No,Yes,2214.0,714.0
8336,48.0,45-55,Big car,Female,Married,No,Yes,471.0,0.0
8338,20.0,18-25,Big car,Male,Single,No,Yes,1505.0,5.0
8354,39.0,35-45,Big car,Female,Married,No,Yes,2223.0,723.0
8381,16.0,18 and below,Big car,Male,Married,No,Yes,4478.0,2978.0
8397,,,Small car,Male,Married,,Yes,28161.0,26661.0
8400,46.0,45-55,Big car,Female,Married,No,Yes,1004.9999999999999,0.0
8416,0.0,18 and below,Small car,Female,Single,No,Yes,57.0,0.0
8420,19.0,18-25,Small car,Female,Single,No,Yes,3319.0,1819.0
8424,38.0,35-45,Big car,Male,Married,No,Yes,2418.0,918.0
8428,16.0,18 and below,Big car,Female,Single,No,Yes,5149.0,3649.0
8434,5.0,18 and below,Small car,Male,Single,Yes,Yes,368.0,0.0
8472,54.0,45-55,Big car,Male,Married,No,Yes,2415.0,915.0
8509,,,Big car,Female,Married,No,Yes,2009.9999999999998,509.9999999999998
8529,32.0,25-35,Small car,Male,Single,Yes,Yes,42225.0,40725.0
8570,18.0,18-25,Small car,Male,Single,No,Yes,5831.0,4331.0
8582,,,Big car,Male,Single,No,Yes,900.0,0.0
